timestamp,packet_number,packet_len,errors,ber,avg_ber
1743932923.441462,1,448,23,0.051339,0.051339
1743932923.4893749,2,448,30,0.066964,0.059152
1743932923.5322287,3,448,30,0.066964,0.061756
1743932923.5741765,4,448,30,0.066964,0.063058
1743932923.6225963,5,448,30,0.066964,0.063839
1743932923.665183,6,448,30,0.066964,0.064360
1743932923.707416,7,448,30,0.066964,0.064732
1743932923.7503004,8,448,30,0.066964,0.065011
1743932923.7983887,9,448,30,0.066964,0.065228
1743932923.8407698,10,448,30,0.066964,0.065402
1743932923.883737,11,448,30,0.066964,0.065544
1743932923.9316328,12,448,30,0.066964,0.065662
1743932923.974129,13,448,29,0.064732,0.065591
1743932924.0169744,14,448,23,0.051339,0.064573
1743932924.0649967,15,448,30,0.066964,0.064732
1743932924.1076293,16,448,30,0.066964,0.064872
1743932924.1503775,17,448,30,0.066964,0.064995
1743932924.1983578,18,448,30,0.066964,0.065104
1743932924.2412522,19,448,30,0.066964,0.065202
1743932924.2837903,20,448,30,0.066964,0.065290
1743932924.3314857,21,448,30,0.066964,0.065370
1743932924.3741696,22,448,30,0.066964,0.065442
1743932924.4171376,23,448,30,0.066964,0.065509
1743932924.46484,24,448,30,0.066964,0.065569
1743932924.5080428,25,448,30,0.066964,0.065625
1743932924.550444,26,448,29,0.064732,0.065591
1743932924.5981135,27,448,23,0.051339,0.065063
1743932924.640806,28,448,30,0.066964,0.065131
1743932924.6836867,29,448,30,0.066964,0.065194
1743932924.7313595,30,448,30,0.066964,0.065253
1743932924.7741416,31,448,30,0.066964,0.065308
1743932924.8175056,32,448,30,0.066964,0.065360
1743932924.864825,33,448,30,0.066964,0.065409
1743932924.9074874,34,448,30,0.066964,0.065454
1743932924.9507968,35,448,30,0.066964,0.065497
1743932924.9931154,36,448,30,0.066964,0.065538
1743932925.040498,37,448,30,0.066964,0.065577
1743932925.0838065,38,448,30,0.066964,0.065613
1743932925.1267903,39,448,29,0.064732,0.065591
1743932925.1739702,40,448,23,0.051339,0.065234
1743932925.217415,41,448,30,0.066964,0.065277
1743932925.259768,42,448,30,0.066964,0.065317
1743932925.3076453,43,448,30,0.066964,0.065355
1743932925.3508425,44,448,30,0.066964,0.065392
1743932925.393698,45,448,30,0.066964,0.065427
1743932925.4407368,46,448,30,0.066964,0.065460
1743932925.4842138,47,448,30,0.066964,0.065492
1743932925.5268013,48,448,30,0.066964,0.065523
1743932925.574134,49,448,30,0.066964,0.065552
1743932925.616635,50,448,30,0.066964,0.065580
1743932925.6603239,51,448,30,0.066964,0.065607
1743932925.707276,52,448,29,0.064732,0.065591
1743932925.750061,53,448,23,0.051339,0.065322
1743932925.792651,54,448,30,0.066964,0.065352
1743932925.8407986,55,448,30,0.066964,0.065381
1743932925.8832498,56,448,30,0.066964,0.065410
1743932925.9268334,57,448,30,0.066964,0.065437
1743932925.9744039,58,448,30,0.066964,0.065463
1743932926.0177703,59,448,30,0.066964,0.065489
1743932926.0600238,60,448,30,0.066964,0.065513
1743932926.1026382,61,448,141,0.314732,0.069599
1743932926.1497178,62,448,194,0.433036,0.075461
1743932926.192739,63,448,179,0.399554,0.080605
1743932926.2515614,64,608,216,0.355263,0.086397
1743932926.3106718,65,608,242,0.398026,0.092833
1743932926.3695862,66,608,206,0.338816,0.097810
1743932926.4274023,67,608,223,0.366776,0.103145
1743932926.4864874,68,608,233,0.383224,0.108591
1743932926.5448508,69,608,224,0.368421,0.113548
1743932926.6046174,70,608,204,0.335526,0.117703
1743932926.6626203,71,608,212,0.348684,0.121948
1743932926.7151842,72,608,210,0.345395,0.125979
1743932926.774501,73,608,225,0.370066,0.130306
1743932926.8335605,74,608,218,0.358553,0.134280
1743932926.891673,75,608,236,0.388158,0.138626
1743932926.9503152,76,608,213,0.350329,0.142189
1743932927.0087395,77,608,232,0.381579,0.146151
1743932927.0673928,78,608,212,0.348684,0.149448
1743932927.1267157,79,608,209,0.343750,0.152561
1743932927.1848662,80,608,220,0.361842,0.155861
1743932927.2437289,81,608,232,0.381579,0.159365
1743932927.3023705,82,608,218,0.358553,0.162409
1743932927.3605866,83,608,232,0.381579,0.165709
1743932927.4146025,84,608,211,0.347039,0.168399
1743932927.4732733,85,608,227,0.373355,0.171394
1743932927.5313423,86,608,207,0.340461,0.173830
1743932927.59009,87,608,221,0.363487,0.176523
1743932927.6489038,88,608,223,0.366776,0.179187
1743932927.7075858,89,608,227,0.373355,0.181868
1743932927.7668765,90,608,235,0.386513,0.184655
1743932927.8245306,91,608,237,0.389803,0.187412
1743932927.8832927,92,608,215,0.353618,0.189615
1743932927.9416943,93,608,29,0.047697,0.187758
1743932928.0003877,94,608,213,0.350329,0.189858
1743932928.0601757,95,608,233,0.383224,0.192324
1743932928.1179304,96,608,216,0.355263,0.194375
1743932928.1714213,97,608,242,0.398026,0.196908
1743932928.2304506,98,608,206,0.338816,0.198651
1743932928.2887986,99,608,223,0.366776,0.200690
1743932928.3476512,100,608,233,0.383224,0.202879
1743932928.4057567,101,608,224,0.368421,0.204839
1743932928.4643211,102,608,204,0.335526,0.206369
1743932928.5232441,103,608,212,0.348684,0.208016
1743932928.5816932,104,608,210,0.345395,0.209588
1743932928.6401296,105,608,225,0.370066,0.211403
1743932928.699007,106,608,218,0.358553,0.213048
1743932928.757828,107,608,236,0.388158,0.214985
1743932928.8166754,108,608,213,0.350329,0.216465
1743932928.8750803,109,608,232,0.381579,0.218252
1743932928.9281266,110,608,212,0.348684,0.219648
1743932928.9873323,111,608,209,0.343750,0.220962
1743932929.0457132,112,608,220,0.361842,0.222439
1743932929.104563,113,608,232,0.381579,0.224089
1743932929.1636384,114,608,218,0.358553,0.225469
1743932929.22171,115,608,232,0.381579,0.227055
1743932929.280544,116,608,211,0.347039,0.228262
1743932929.3388026,117,608,227,0.373355,0.229707
1743932929.3976357,118,608,207,0.340461,0.230799
1743932929.4568994,119,608,221,0.363487,0.232095
1743932929.51527,120,608,223,0.366776,0.233397
1743932929.5742855,121,608,227,0.373355,0.234737
1743932929.6273885,122,608,235,0.386513,0.236177
